,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Alta Floresta,BR,-9.8756,-56.0861,94.82,29,20,10.36,few clouds
107,Severo-Kurilsk,RU,50.6789,156.125,57.29,91,19,12.03,few clouds
108,Nabire,ID,-3.3667,135.4833,74.48,92,59,3.36,broken clouds
109,Bandarbeyla,SO,9.4942,50.8122,75.27,79,75,33.31,broken clouds
110,Chuy,UY,-33.6971,-53.4616,50.83,66,100,8.84,overcast clouds
111,Carman,CA,49.4992,-98.0016,77.92,55,83,7.52,broken clouds
112,Staryy Nadym,RU,65.6118,72.6842,70.45,58,50,12.64,scattered clouds
113,Boshan,CN,36.4833,117.8333,74.91,65,51,3.65,broken clouds
114,Souillac,MU,-20.5167,57.5167,68.38,83,75,12.66,broken clouds
115,Chokurdakh,RU,70.6333,147.9167,44.65,68,72,13.96,broken clouds
116,Leningradskiy,RU,69.3833,178.4167,56.82,63,100,13.51,overcast clouds
117,Tatawin,TN,32.9297,10.4518,80.74,40,0,12.68,clear sky
118,Hambantota,LK,6.1241,81.1185,79.63,79,77,17.9,broken clouds
119,Port Alfred,ZA,-33.5906,26.891,63.54,46,0,11.07,clear sky
120,Buraydah,SA,26.326,43.975,95.45,11,99,8.84,overcast clouds
121,La Ronge,CA,55.1001,-105.2842,70.02,68,75,12.66,broken clouds
122,College,US,64.8569,-147.8028,74.21,58,40,4.61,smoke
123,Hearst,CA,49.6835,-83.6665,71.13,33,2,9.31,clear sky
124,Kisangani,CD,0.5167,25.2,78.71,50,100,1.92,overcast clouds
125,Codrington,AU,-38.2667,141.9667,49.53,71,99,12.08,overcast clouds
126,Bluefields,NI,12.0137,-83.7635,80.67,94,75,9.22,broken clouds
127,Matara,LK,5.9485,80.5353,79.43,85,100,13.22,overcast clouds
128,Byron Bay,AU,-28.65,153.6167,47.53,78,0,9.24,clear sky
129,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,12.66,light rain
130,Santa Cruz De Tenerife,ES,28.4682,-16.2546,85.91,78,20,16.11,few clouds
131,Mar Del Plata,AR,-38.0023,-57.5575,57.09,69,0,11.99,clear sky
132,Teahupoo,PF,-17.8333,-149.2667,74.53,70,6,2.82,clear sky
133,Norman Wells,CA,65.282,-126.8329,78.84,44,20,11.5,smoke
134,Caravelas,BR,-17.7125,-39.2481,72.84,74,0,4.59,clear sky
135,Mayo,US,38.8876,-76.5119,88.12,75,75,11.5,broken clouds
136,Halifax,CA,44.6453,-63.5724,69.69,66,98,12.66,overcast clouds
137,Cape Town,ZA,-33.9258,18.4232,60.39,76,0,3.0,clear sky
138,Coihaique,CL,-45.5752,-72.0662,41.61,100,100,4.0,light rain
139,Fortuna,US,40.5982,-124.1573,72.93,73,20,5.99,few clouds
140,Makakilo City,US,21.3469,-158.0858,79.12,71,75,12.66,light rain
141,Naze,JP,28.3667,129.4833,77.92,89,100,10.6,overcast clouds
142,Hirado,JP,33.3597,129.5531,80.38,92,32,8.12,scattered clouds
143,Inyonga,TZ,-6.7167,32.0667,63.05,49,2,5.39,clear sky
144,Iquique,CL,-20.2208,-70.1431,64.44,68,41,2.51,scattered clouds
145,Kjollefjord,NO,70.9457,27.3465,51.85,93,75,4.61,broken clouds
146,Kuppam,IN,12.75,78.3667,71.8,78,100,17.94,overcast clouds
147,Camacha,PT,33.0833,-16.3333,65.62,83,40,16.11,scattered clouds
148,Castro,BR,-24.7911,-50.0119,66.06,61,100,3.71,overcast clouds
149,Nelson Bay,AU,-32.7167,152.15,49.08,87,1,11.01,clear sky
150,Stornoway,GB,58.2093,-6.3865,55.36,85,100,13.8,overcast clouds
151,Kifri,IQ,34.6959,44.9661,93.31,18,0,6.8,clear sky
152,Margate,GB,51.3813,1.3862,70.88,63,45,3.0,scattered clouds
153,Airai,TL,-8.9266,125.4092,57.07,96,68,3.53,broken clouds
154,Ambilobe,MG,-13.2,49.05,66.9,74,65,4.45,broken clouds
155,Port Lincoln,AU,-34.7333,135.8667,52.93,80,67,8.03,broken clouds
156,Northam,GB,51.0333,-4.2167,65.61,80,3,8.61,clear sky
157,Torbay,CA,47.6666,-52.7314,66.27,74,75,14.97,broken clouds
158,Bowen,AU,-20.0167,148.2333,58.19,82,0,6.93,clear sky
159,Micheweni,TZ,-4.9667,39.8333,75.29,72,2,14.07,clear sky
160,Bud,US,39.447,-86.1758,77.76,93,100,2.91,overcast clouds
161,Tomiya,JP,38.3931,140.8861,68.76,82,100,7.0,overcast clouds
162,Bredasdorp,ZA,-34.5322,20.0403,51.58,92,0,3.44,clear sky
163,Cidreira,BR,-30.1811,-50.2056,60.64,77,94,12.5,overcast clouds
164,Lata,PT,40.1629,-8.3327,78.21,32,0,3.09,clear sky
